Rank,Washing Machine Name,Rating,Price,Product Link,Start Time,End Time
26,"Samsung 10 Kg, 5 Star, AI Wash, Ecobubble, AI Energy Mode, AI VRT+, Soft Closing Door, Wi-Fi, Digital Inverter, Fully-Automat",4.1 out of 5 stars,"₹26,880.00",https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WA80F10E2LTL/dp/B0F2S2YTKP/ref=zg_bs_g_1380373031_d_sccl_26/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
27,"Bosch 8 kg, 5 Star, AI Active Water+, Anti-Tangle, Steam Anti Bacteria, Anti-Wrinkle Fully-Automatic Front Loading Washing Ma",4.4 out of 5 stars,"₹31,990.00",https://www.amazon.in/Bosch-Anti-Tangle-Anti-Wrinkle-Fully-Automatic-WAJ28260IN/dp/B0F4K415FW/ref=zg_bs_g_1380373031_d_sccl_27/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
28,"Samsung 7 kg, 5 star, EcoBubble Technology, Hygiene Steam with Inbuilt Heater, Digital Inverter, Fully-Automatic Front Load W",4.4 out of 5 stars,"₹29,990.00",https://www.amazon.in/Samsung-Technology-Fully-Automatic-WW70R22EK0X-TL/dp/B0DYVQR2CY/ref=zg_bs_g_1380373031_d_sccl_28/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
29,"Samsung 8 Kg, 5 Star, AI Wash, Ecobubble, AI Energy Mode, AI VRT+, Super Speed, Soft Closing Door, Wi-Fi, Digital Inverter, F",4.2 out of 5 stars,"₹22,490.00",https://www.amazon.in/Samsung-Ecobubble-Inverter-Fully-Automatic-WA80F08S2LTL/dp/B0F2SLWGJW/ref=zg_bs_g_1380373031_d_sccl_29/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
30,"Bosch 7 kg, 5 Star, AI active water+, Anti-Wrinkle, Anti-Tangle, Anti Bacteria Steam, Fully-Automatic Front Loading Washing M",4.2 out of 5 stars,"₹29,990.00",https://www.amazon.in/Bosch-Fully-Automatic-Loading-Washing-WAJ24266IN/dp/B0CFFPLZXJ/ref=zg_bs_g_1380373031_d_sccl_30/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
31,"Haier 7 Kg 5 Star Fully Automatic Top Load Washing Machine with Oceanus Wave Drum, Magic Filter, 8 Wash Programs (HWM70-AE, M",4.0 out of 5 stars,"₹13,990.00",https://www.amazon.in/Haier-Automatic-Washing-HWM70-AE-Moonlight/dp/B08ZJHJ5DJ/ref=zg_bs_g_1380373031_d_sccl_31/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
32,"Panasonic 7 Kg Wifi Fully-Automatic Top Loading Smart Washing Machine (NA-F70CH4CRB, Charcoal Inox Grey, 2025 Model, Drynamic",4.2 out of 5 stars,"₹16,990.00",https://www.amazon.in/Panasonic-Fully-Automatic-NA-F70CH4CRB-Charcoal-Drynamic/dp/B0DSZHMNYY/ref=zg_bs_g_1380373031_d_sccl_32/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
33,Whirlpool 9 Kg 5 Star BloomWash Royal Plus Fully Automatic Top Load Washing Machine (BW ROYAL PLUS H 9 KG GREY 10YMW with In-,4.0 out of 5 stars,"₹21,990.00",https://www.amazon.in/Whirlpool-BloomWash-BW-ROYAL-PLUS/dp/B0CMZHKF8W/ref=zg_bs_g_1380373031_d_sccl_33/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
34,"IFB 9 Kg 5 Star Powered by AI with 9 Swirl Wash, WiFi, Fully Automatic Front Load Washing Machine (Executive SXN 9014K, Steam",4.1 out of 5 stars,"₹36,240.00",https://www.amazon.in/IFB-Technology-Executive-SXN-9014K/dp/B0D7CPNWSN/ref=zg_bs_g_1380373031_d_sccl_34/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
35,"Godrej 7 Kg 5 Star, AI Powered, Zero Pressure Tech Fills Tub At ~0 Water Pressure, Auto Balance system, Steel Drum, Fully Aut",3.7 out of 5 stars,"₹13,990.00",https://www.amazon.in/Godrej-Fully-Automatic-WTEON-FDTN-GPGR/dp/B0D62DRL4C/ref=zg_bs_g_1380373031_d_sccl_35/259-2893573-4903325?psc=1,2025-08-05 21:09:02,2025-08-05 21:09:02
