Rank,Product Name,Rating,Price,Product Link,Scraped Time
15,"Samsung 7.5 Kg Inverter 5 Star Semi Automatic Top Load Washing Machine (WT75B3200RR/TL, Light Grey & Red Base, Air turbo dryi",4.1 out of 5 stars,N/A,https://www.amazon.in/Samsung-Inverter-Loading-WT75B3200RR-TL/dp/B0BWN5V717/ref=zg_bs_g_1380369031_d_sccl_15/257-7859944-9146142?psc=1,2025-08-05 21:09:30
16,"Voltas Beko, A Tata Product 10 Kg 5 Star Fully-Automatic Top Loading Washing Machine (WTL1006UEAH/OBS3060, Dark Grey, Inbuilt",4.2 out of 5 stars,N/A,https://www.amazon.in/Voltas-Beko-Fully-Automatic-WTL1006UEAH-OBS3060/dp/B0DDTV7RKJ/ref=zg_bs_g_1380369031_d_sccl_16/257-7859944-9146142?psc=1,2025-08-05 21:09:30
17,"LG 10.0 Kg 5 Star AI Direct Drive Technology, ThinQ (Wi-Fi), Steam Wash for Allergy Removal Fully Automatic Top Loading Washi",4.2 out of 5 stars,N/A,https://www.amazon.in/LG-Technology-Automatic-THD10SWM-Convenience/dp/B0D8VWX3P1/ref=zg_bs_g_1380369031_d_sccl_17/257-7859944-9146142?psc=1,2025-08-05 21:09:30
18,"Voltas Beko, A Tata Product 8.5 Kg 5 Star Semi-Automatic Top Loading Washing Machine (WTT85UHA/OK5I0I0W01, Blue, Air Dry & Pu",4.0 out of 5 stars,N/A,https://www.amazon.in/Voltas-Beko-Semi-Automatic-WTT85UHA-OK5I0I0W01/dp/B0CW98YV9M/ref=zg_bs_g_1380369031_d_sccl_18/257-7859944-9146142?psc=1,2025-08-05 21:09:30
19,"ROMINO 0.8Kg Portable Mini Washing Machine, Foldable Washing Machine Top Load Fully Automatic with 3 Modes Spinner and Dryer,",4.7 out of 5 stars,N/A,https://www.amazon.in/ROMINO-Portable-Washing-Foldable-Automatic/dp/B0FJMJFQ4H/ref=zg_bs_g_1380369031_d_sccl_19/257-7859944-9146142?psc=1,2025-08-05 21:09:30
20,MAXISMART MiNi wAsHiNg mAcHiNe tUrBiNe wAsHiNg mAcHiNe wAsHiNg mAcHiNe dOoR HiNgE UlTrAsOnIc lIgHtWeIgHt tUrBo wAsHeR WiTh uS,2.5 out of 5 stars,N/A,https://www.amazon.in/MAXISMART-wAsHiNg-mAcHiNe-UlTrAsOnIc-lIgHtWeIgHt/dp/B0DZHWMKD9/ref=zg_bs_g_1380369031_d_sccl_20/257-7859944-9146142?psc=1,2025-08-05 21:09:30
21,DMR-BG-138 Purple Color Portable and Foldable Electric Cloth Dryer Suitable for Drying 5-6 Clothes - 1-3 Hour Timer Setting -,4.2 out of 5 stars,N/A,https://www.amazon.in/DMR-BG-138-Purple-Portable-Foldable-Electric/dp/B0FHC14C87/ref=zg_bs_g_1380369031_d_sccl_21/257-7859944-9146142?psc=1,2025-08-05 21:09:30
22,MiNi WaShInG MaChInE TuRbInE WaShInG MaChInE WaShInG MaChInE DoOr HiNgE UlTrAsOnIc LiGhTwEiGhT TuRbO WaShEr WiTh UsB CaBlE -,5.0 out of 5 stars,N/A,https://www.amazon.in/WaShInG-MaChInE-TuRbInE-UlTrAsOnIc-LiGhTwEiGhT/dp/B0FH1NLDWV/ref=zg_bs_g_1380369031_d_sccl_22/257-7859944-9146142?psc=1,2025-08-05 21:09:30
23,SeMi AuToMaTiC FoLdInG 11L SmAlL MiNi WaShInG MaChInE WiTh DrYeR DeEp CLeAnInG FoR UnDeRwEaR WaShINg MaChInE SeMi AuToMaTiC M,2.0 out of 5 stars,N/A,https://www.amazon.in/AuToMaTiC-FoLdInG-WaShInG-CLeAnInG-UnDeRwEaR/dp/B0FHQKZBQZ/ref=zg_bs_g_1380369031_d_sccl_23/257-7859944-9146142?psc=1,2025-08-05 21:09:30
24,"IFB 9 Kg/6 Kg/3 Kg 3-in-1, AI Powered, Fully Automatic Washer Dryer Refresher (IFB Laundrimagic®, EXECUTIVE ZMN, 9 Swirl Wash",4.3 out of 5 stars,N/A,https://www.amazon.in/IFB-Laundrimagic%C2%AE-EXECUTIVE-ZMN-Technology/dp/B0DSLHH97S/ref=zg_bs_g_1380369031_d_sccl_24/257-7859944-9146142?psc=1,2025-08-05 21:09:30
